"","l1","l2","l3"
"s001",0.442268300921511,2.09683124022893,0.442268300921511
"s002",1.32880068106545,1.32880068106545,1.32880068106545
"s003",2.73541902640162,2.73541902640162,2.73541902640162
"s004",NA,0.743359435266682,0.743359435266682
"s005",3.4349782022598,NA,NA
"s006",1.47309885954745,1.47309885954745,1.47309885954745
"s007",2.5308815163891,2.5308815163891,2.5308815163891
"s008",1.28770153762431,1.28770153762431,1.28770153762431
"s009",2.43922349324534,NA,NA
"s010",0.321436230067489,0.321436230067489,0.647507721961677
"s011",0.990422763268292,0.990422763268292,0.990422763268292
"s012",2.43922349324534,2.43922349324534,2.43922349324534
"s013",2.16790941923319,2.16790941923319,2.16790941923319
"s014",NA,2.01845392565696,NA
"s015",1.0579263915793,1.0579263915793,1.0579263915793
"s016",0.841328265304334,NA,0.841328265304334
"s017",1.80820055580126,1.80820055580126,NA
"s018",2.0196426045219,2.0196426045219,2.0196426045219
"s019",5.5971802945769,5.5971802945769,5.5971802945769
"s020",4.48564223383898,4.48564223383898,4.48564223383898
"s021",4.48564223383898,4.48564223383898,4.48564223383898
"s022",0.82785219091333,0.82785219091333,NA
"s023",NA,NA,NA
"s024",1.38070027522269,NA,NA
"s025",2.02154551024705,NA,NA
"s026",NA,2.24577876247862,NA
"s027",0.83389282884553,0.83389282884553,0.83389282884553
"s028",1.72103842199993,1.72103842199993,1.72103842199993
"s029",3.39336665422409,3.39336665422409,3.39336665422409
"s030",0.489491828328114,NA,NA
"s031",0.94984538215438,NA,NA
"s032",1.99815120799203,1.99815120799203,1.99815120799203
"s033",1.51344020364202,1.51344020364202,1.51344020364202
"s034",3.04505521296413,3.04505521296413,3.04505521296413
"s035",0.987125245346304,0.987125245346304,0.987125245346304
"s036",0.946628887156947,NA,0.946628887156947
"s037",1.08678620252559,1.08678620252559,1.08678620252559
"s038",1.192159490169,1.192159490169,1.192159490169
"s039",1.38070027522269,1.38070027522269,1.38070027522269
"s040",2.12624463550176,2.12624463550176,NA
"s041",3.30175048269853,3.30175048269853,3.30175048269853
"s042",NA,NA,2.19219074215726
"s043",2.0962555307023,2.0962555307023,2.0962555307023
"s044",2.39632557262155,2.39632557262155,2.39632557262155
"s045",NA,NA,NA
"s046",0.431688834694621,0.431688834694621,0.431688834694621
"s047",2.84182146694686,2.84182146694686,2.80019610920378
"s048",NA,NA,NA
"s049",1.23799242727894,1.23799242727894,1.23799242727894
"s050",2.03248277975485,NA,2.03248277975485
"s051",3.27337841533789,3.27337841533789,3.27337841533789
"s052",0.662798046164893,0.662798046164893,0.662798046164893
"s053",1.63378035549458,1.63378035549458,1.63378035549458
"s054",0.130962780972305,0.130962780972305,0.130962780972305
"s055",NA,NA,NA
"s056",2.03248277975485,2.03248277975485,2.03248277975485
"s057",1.42410752754137,1.42410752754137,NA
"s058",0.672486616967208,0.672486616967208,0.672486616967208
"s059",NA,NA,6.58259730273697
"s060",1.49595295714805,0.323598902964766,1.49595295714805
"s061",0.622037981155492,0.622037981155492,0.622037981155492
"s062",3.30175048269853,3.30175048269853,3.30175048269853
"s063",2.44177481557985,NA,NA
"s064",0.103929062345429,0.103929062345429,0.103929062345429
"s065",1.1711226451572,1.1711226451572,1.1711226451572
"s066",1.49595295714805,1.49595295714805,1.49595295714805
"s067",0.807908565371107,0.807908565371107,NA
"s068",0.401353024157038,0.401353024157038,0.401353024157038
"s069",2.43922349324534,2.43922349324534,2.43922349324534
"s070",0.103929062345429,0.676137744841981,0.676137744841981
"s071",0.420258551370463,0.420258551370463,0.828116084857673
"s072",1.51447061708044,1.51447061708044,1.51447061708044
"s073",0.743001514130355,0.743001514130355,0.743001514130355
"s074",1.96733480882131,1.96733480882131,1.96733480882131
"s075",0.546487191066726,0.546487191066726,0.546487191066726
"s076",2.48650080434332,2.48650080434332,2.48650080434332
"s077",0.442268300921511,0.442268300921511,0.442268300921511
"s078",1.99815120799203,NA,1.99815120799203
"s079",0.534093858792628,0.534093858792628,0.534093858792628
"s080",NA,NA,2.64348089646965
"s081",0.449584530427816,0.449584530427816,0.449584530427816
"s082",2.71693324356709,2.71693324356709,2.71693324356709
"s083",NA,2.96840213751439,2.96840213751439
"s084",NA,2.60263832485422,2.60263832485422
"s085",1.49595295714805,NA,1.49595295714805
"s086",2.78977763450781,2.78977763450781,2.78977763450781
"s087",1.23799242727894,1.23799242727894,1.23799242727894
"s088",1.50898550357517,1.50898550357517,1.50898550357517
"s089",1.31624703228535,1.31624703228535,1.31624703228535
"s090",2.78977763450781,3.53722663254703,3.53722663254703
"s091",1.63378035549458,1.63378035549458,1.63378035549458
"s092",NA,NA,NA
"s093",0.807908565371107,0.807908565371107,0.807908565371107
"s094",2.87321931811687,NA,NA
"s095",1.97005158561902,1.97005158561902,1.97005158561902
"s096",0.657918118005577,0.657918118005577,NA
"s097",0.987125245346304,1.44449757701424,1.44449757701424
"s098",1.33560370245069,1.33560370245069,NA
"s099",0.191141962949008,0.191141962949008,0.191141962949008
"s100",NA,NA,NA
"s101",2.93946547011527,2.93946547011527,2.93946547011527
"s102",NA,NA,NA
"s103",NA,NA,NA
"s104",2.51706818540937,NA,NA
"s105",1.19267189536771,1.19267189536771,3.22655020881436
"s106",1.69977594111695,1.69977594111695,1.69977594111695
"s107",0.534093858792628,0.534093858792628,NA
"s108",1.82963391146972,1.82963391146972,1.82963391146972
"s109",NA,NA,NA
"s110",NA,0.200490024689509,0.200490024689509
"s111",NA,NA,NA
"s112",1.08678620252559,1.08678620252559,1.08678620252559
"s113",1.13148585939021,1.13148585939021,1.13148585939021
"s114",1.192159490169,1.192159490169,1.192159490169
"s115",2.08877936843507,2.08877936843507,2.08877936843507
"s116",1.00675729448562,1.00675729448562,1.00675729448562
"s117",NA,1.92524576353254,1.92524576353254
"s118",2.96840213751439,2.96840213751439,2.96840213751439
"s119",1.30270574190797,1.30270574190797,NA
"s120",NA,NA,NA
"s121",0.990422763268292,0.990422763268292,0.990422763268292
"s122",0.100534819838701,NA,0.100534819838701
"s123",0.380012170857724,0.380012170857724,0.380012170857724
"s124",NA,NA,NA
"s125",1.55431986733748,1.69483221883466,1.55431986733748
"s126",2.43922349324534,2.43922349324534,2.42439069664937
"s127",2.96840213751439,2.96840213751439,2.96840213751439
"s128",NA,NA,NA
"s129",NA,NA,NA
"s130",0.663344744457963,0.663344744457963,0.663344744457963
"s131",2.0196426045219,2.0196426045219,2.0196426045219
"s132",0.268918668002056,0.268918668002056,0.268918668002056
"s133",NA,NA,NA
"s134",0.725444174282212,0.725444174282212,0.725444174282212
"s135",1.29495028862115,1.29495028862115,1.29495028862115
"s136",NA,NA,NA
"s137",NA,NA,NA
"s138",2.39436531256197,2.39436531256197,2.39436531256197
"s139",1.37143474142957,1.37143474142957,1.37143474142957
"s140",0.289313411372511,0.289313411372511,0.289313411372511
"s141",2.06183904560953,2.06183904560953,2.06183904560953
"s142",3.1076092498897,3.1076092498897,3.1076092498897
"s143",1.94685676155181,1.94685676155181,1.94685676155181
"s144",NA,NA,NA
"s145",0.563223978537846,NA,NA
"s146",0.79396552192145,NA,NA
"s147",4.73922116491729,4.73922116491729,4.73922116491729
"s148",NA,2.01845392565696,2.01845392565696
"s149",1.86874991638796,1.86874991638796,1.86874991638796
"s150",0.191141962949008,0.191141962949008,NA
"s151",0.743001514130355,0.743001514130355,0.743001514130355
"s152",NA,NA,NA
"s153",NA,NA,NA
"s154",NA,NA,1.67304729460945
"s155",NA,3.30807787846659,NA
"s156",NA,0.4504933406833,NA
"s157",NA,NA,NA
"s158",NA,2.19996164739297,NA
"s159",NA,NA,3.39585339053381
"s160",NA,NA,3.23598273326667
