"","t1","t2","t3"
"s001",2,1,1
"s002",1,1,1
"s003",3,3,3
"s004",1,1,1
"s005",1,1,1
"s006",3,3,3
"s007",1,1,1
"s008",1,1,1
"s009",1,NA,NA
"s010",1,1,1
"s011",1,1,1
"s012",1,1,1
"s013",1,1,3
"s014",1,1,1
"s015",1,2,3
"s016",1,NA,3
"s017",1,1,NA
"s018",1,1,1
"s019",3,3,3
"s020",1,1,1
"s021",1,1,1
"s022",1,1,1
"s023",1,1,1
"s024",1,1,NA
"s025",1,NA,NA
"s026",1,1,1
"s027",1,2,2
"s028",3,2,1
"s029",3,2,3
"s030",1,NA,1
"s031",1,2,NA
"s032",1,1,1
"s033",1,2,3
"s034",2,2,3
"s035",1,1,1
"s036",1,1,1
"s037",1,1,1
"s038",1,1,1
"s039",1,1,1
"s040",1,1,NA
"s041",2,3,3
"s042",1,1,1
"s043",1,2,2
"s044",1,1,3
"s045",3,3,2
"s046",1,3,1
"s047",2,3,3
"s048",NA,1,1
"s049",1,1,2
"s050",1,1,1
"s051",1,1,1
"s052",1,3,3
"s053",1,1,1
"s054",1,1,1
"s055",1,1,1
"s056",1,1,1
"s057",2,3,1
"s058",1,1,1
"s059",1,1,1
"s060",1,1,1
"s061",1,1,1
"s062",1,1,1
"s063",2,NA,NA
"s064",3,3,3
"s065",2,3,3
"s066",1,1,1
"s067",1,1,NA
"s068",1,1,1
"s069",1,1,1
"s070",1,1,1
"s071",1,1,1
"s072",3,3,3
"s073",1,2,1
"s074",1,3,3
"s075",1,3,3
"s076",1,1,1
"s077",1,1,1
"s078",1,1,1
"s079",1,1,1
"s080",1,3,3
"s081",2,3,3
"s082",1,1,1
"s083",1,1,1
"s084",1,1,1
"s085",1,1,1
"s086",1,1,1
"s087",1,1,3
"s088",1,1,1
"s089",1,1,1
"s090",1,1,1
"s091",1,1,1
"s092",1,1,1
"s093",1,1,3
"s094",1,NA,NA
"s095",1,1,1
"s096",1,3,NA
"s097",1,1,1
"s098",1,1,2
"s099",1,1,1
"s100",1,1,1
"s101",1,1,2
"s102",3,NA,NA
"s103",1,NA,NA
"s104",1,NA,NA
"s105",1,1,1
"s106",1,1,3
"s107",1,1,3
"s108",1,1,1
"s109",1,1,3
"s110",1,1,1
"s111",1,3,3
"s112",1,1,1
"s113",1,3,1
"s114",1,1,1
"s115",1,1,3
"s116",1,1,1
"s117",1,1,1
"s118",1,1,1
"s119",1,1,NA
"s120",1,1,1
"s121",1,1,1
"s122",1,1,1
"s123",2,1,3
"s124",1,NA,NA
"s125",1,1,1
"s126",3,3,3
"s127",1,1,1
"s128",3,3,NA
"s129",1,1,NA
"s130",2,1,1
"s131",2,1,1
"s132",1,1,1
"s133",1,NA,NA
"s134",1,1,1
"s135",1,1,1
"s136",NA,1,1
"s137",1,1,1
"s138",1,1,1
"s139",1,1,1
"s140",1,1,1
"s141",1,1,1
"s142",1,1,1
"s143",1,1,1
"s144",3,3,3
"s145",1,NA,NA
"s146",1,1,1
"s147",1,1,1
"s148",1,1,1
"s149",1,1,1
"s150",1,1,1
"s151",1,1,1
"s152",1,3,3
"s153",NA,1,NA
"s154",NA,1,1
"s155",NA,3,NA
"s156",NA,1,NA
"s157",NA,3,3
"s158",NA,1,NA
"s159",NA,NA,1
"s160",NA,NA,3
